GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE_XX;ANGLE_XY;ANGLE_XZ;ANGLE_YX;ANGLE_YY;ANGLE_YZ;ANGLE_ZX;ANGLE_ZY;ANGLE_ZZ;PART1_WDITH;PART2_WDITH;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG;PLANE1_X_START;PLANE1_X_OVERLAP;PLANE1_X_END;PLANE1_Y_START;PLANE1_Y_OVERLAP;PLANE1_Y_END;PLANE1_Z_START;PLANE1_Z_OVERLAP;PLANE1_Z_END;PLANE2_X_START;PLANE2_X_OVERLAP;PLANE2_X_END;PLANE2_Y_START;PLANE2_Y_OVERLAP;PLANE2_Y_END;PLANE2_Z_START;PLANE2_Z_OVERLAP;PLANE2_Z_END;GLOBAL_Z_START;GLOBAL_Z_OVERLAP;GLOBAL_Z_END
4b03cd0c-cb9f-479f-9312-7e14ca29b38f;7262ebb4-5c0a-400b-abe6-db963ea19562;3330845;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;32.5;1226;4491;{18443.98233, 67988.99585, 45669.999725}|{18443.98233, 69214.99585, 45669.999725};{18443.98233, 67988.99585, 49377.499725}|{18443.98233, 67988.99585, 44886.499725};{18256.48233, 68005.24585, 45669.999725};{18443.98233, 68005.24585, 45669.999725};{18350.23233, 68601.99585, 45669.999725};{18349.98233, 68005.24585, 47131.999725};0;32.5;1193.5;0;187.5;0.5;758.5;50;3682.5;3682.5;50;758.5;0;187.5;0.5;0;32.5;1193.5;758.5;50;3682.5
1fe5e412-e356-420c-9d0c-f57357b9630e;7262ebb4-5c0a-400b-abe6-db963ea19562;3330857;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;45.1;32.5;1226;4491;{18443.98233, 67988.99585, 44869.899725}|{18443.98233, 69214.99585, 44869.899725};{18443.98233, 67988.99585, 49377.499725}|{18443.98233, 67988.99585, 44886.499725};{18255.98233, 68005.24585, 44900.749725};{18443.98233, 68005.24585, 44900.749725};{18349.98233, 68601.99585, 44892.449725};{18349.98233, 68005.24585, 47131.999725};0;32.5;1193.5;0;188;0;16.599999;28.499999;4462.500001;4462.500001;28.499999;16.599999;0;188;0;0;32.5;1193.5;16.599999;28.499999;4462.500001
7d3c8a8d-2195-48df-8da3-e1403ab38c7a;e240c9f9-b68c-4ed7-912f-2d64a987bcad;3330842;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;187.5;32.5;50;4491;1226;{18443.98233, 69214.99585, 44886.499725}|{18443.98233, 69214.99585, 49377.499725};{18443.98233, 67988.99585, 47714.999725}|{18443.98233, 69214.99585, 47714.999725};{18256.48233, 69198.74585, 47714.999725};{18443.98233, 69198.74585, 47714.999725};{18349.98233, 69198.74585, 47131.999725};{18350.23233, 68601.99585, 47714.999725};2803.5;50;1637.5;0;187.5;0.5;0;32.5;1193.5;1193.5;32.5;0;0;187.5;0.5;2803.5;50;1637.5;2803.5;50;1637.5
6b07b01c-7ed4-4c75-82b0-503954b4ff38;7d3c8a8d-2195-48df-8da3-e1403ab38c7a;3330842;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;32.5;32.5;1226;4491;{18443.98233, 69214.99585, 49377.499725}|{18443.98233, 67988.99585, 49377.499725};{18443.98233, 69214.99585, 44886.499725}|{18443.98233, 69214.99585, 49377.499725};{18255.98233, 69198.74585, 49361.249725};{18443.98233, 69198.74585, 49361.249725};{18349.98233, 68601.99585, 49361.249725};{18349.98233, 69198.74585, 47131.999725};0;32.5;1193.5;0;188;0;0;32.5;4458.5;4458.5;32.5;0;0;188;0;0;32.5;1193.5;4458.5;32.5;0
4b03cd0c-cb9f-479f-9312-7e14ca29b38f;7d3c8a8d-2195-48df-8da3-e1403ab38c7a;3330845;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;32.5;1226;4491;{18443.98233, 67988.99585, 45669.999725}|{18443.98233, 69214.99585, 45669.999725};{18443.98233, 69214.99585, 44886.499725}|{18443.98233, 69214.99585, 49377.499725};{18256.48233, 69198.74585, 45669.999725};{18443.98233, 69198.74585, 45669.999725};{18350.23233, 68601.99585, 45669.999725};{18349.98233, 69198.74585, 47131.999725};1193.5;32.5;0;0;187.5;0.5;758.5;50;3682.5;758.5;50;3682.5;0;187.5;0.5;0;32.5;1193.5;758.5;50;3682.5
1fe5e412-e356-420c-9d0c-f57357b9630e;7d3c8a8d-2195-48df-8da3-e1403ab38c7a;3330857;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;45.1;32.5;1226;4491;{18443.98233, 67988.99585, 44869.899725}|{18443.98233, 69214.99585, 44869.899725};{18443.98233, 69214.99585, 44886.499725}|{18443.98233, 69214.99585, 49377.499725};{18255.98233, 69198.74585, 44900.749725};{18443.98233, 69198.74585, 44900.749725};{18349.98233, 68601.99585, 44892.449725};{18349.98233, 69198.74585, 47131.999725};1193.5;32.5;0;0;188;0;16.599999;28.499999;4462.500001;16.599999;28.499999;4462.500001;0;188;0;0;32.5;1193.5;16.599999;28.499999;4462.500001
250a8a9a-7769-49f3-9e9a-c3eaece43930;272efdfa-2956-4023-ab3e-4bd15b85691a;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;187.5;50;50;1357.5;4507.6;{18443.98233, 72749.99585, 47714.999725}|{18443.98233, 74107.49585, 47714.999725};{18443.98233, 72749.999725, 49377.50415}|{18443.98233, 72749.999725, 44869.90415};{18256.48233, 72762.497787, 47714.999725};{18443.98233, 72762.497787, 47714.999725};{18350.23233, 73428.74585, 47714.999725};{18350.23233, 72749.999725, 47123.70415};24.996124;25.003876;1332.496124;0;187.5;0;2820.095575;50;1637.504425;1637.504425;50;2820.095575;0;187.5;0;24.996124;25.003876;1332.496124;2820.095575;50;1637.504425
250a8a9a-7769-49f3-9e9a-c3eaece43930;2db24f86-da2f-4dfc-9c27-1c6584232f64;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;0;90;90;90;0;90;90;90;0;187.5;187.5;50;50;1357.5;1065;{18443.98233, 72749.99585, 47714.999725}|{18443.98233, 74107.49585, 47714.999725};{18443.98233, 71684.99585, 47714.999725}|{18443.98233, 72749.99585, 47714.999725};{18256.48233, 72749.99585, 47714.999725};{18443.98233, 72749.99585, 47714.999725};{18350.23233, 73428.74585, 47714.999725};{18350.23233, 72217.49585, 47714.999725};1065;0;1357.5;0;187.5;0;0;50;0;1065;0;1357.5;0;187.5;0;0;50;0;0;50;0
250a8a9a-7769-49f3-9e9a-c3eaece43930;aac28aed-d5c7-4ef3-9dc8-e7a8a91ed89c;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;187.5;50;50;1357.5;4507.6;{18443.98233, 72749.99585, 47714.999725}|{18443.98233, 74107.49585, 47714.999725};{18443.98233, 74107.499725, 49377.50415}|{18443.98233, 74107.499725, 44869.90415};{18256.48233, 74094.997787, 47714.999725};{18443.98233, 74094.997787, 47714.999725};{18350.23233, 73428.74585, 47714.999725};{18350.23233, 74107.499725, 47123.70415};1332.503876;24.996124;25.003876;0;187.5;0;2820.095575;50;1637.504425;1637.504425;50;2820.095575;0;187.5;0;1332.503876;24.996124;25.003876;2820.095575;50;1637.504425
39fa5d60-6dac-4d40-ba6e-aae4668a7cf2;5b0f08ff-4e7e-41b3-83a4-121282e3e469;3330842;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;187.5;32.5;50;4491;1065;{18443.98233, 71684.99585, 49377.499725}|{18443.98233, 71684.99585, 44886.499725};{18443.98233, 71684.99585, 45669.999725}|{18443.98233, 72749.99585, 45669.999725};{18256.48233, 71701.24585, 45669.999725};{18443.98233, 71701.24585, 45669.999725};{18349.98233, 71701.24585, 47131.999725};{18350.23233, 72217.49585, 45669.999725};3682.5;50;758.5;0;187.5;0.5;0;32.5;1032.5;0;32.5;1032.5;0;187.5;0.5;758.5;50;3682.5;758.5;50;3682.5
2db24f86-da2f-4dfc-9c27-1c6584232f64;39fa5d60-6dac-4d40-ba6e-aae4668a7cf2;3330845;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;32.5;1065;4491;{18443.98233, 71684.99585, 47714.999725}|{18443.98233, 72749.99585, 47714.999725};{18443.98233, 71684.99585, 49377.499725}|{18443.98233, 71684.99585, 44886.499725};{18256.48233, 71701.24585, 47714.999725};{18443.98233, 71701.24585, 47714.999725};{18350.23233, 72217.49585, 47714.999725};{18349.98233, 71701.24585, 47131.999725};0;32.5;1032.5;0;187.5;0.5;2803.5;50;1637.5;1637.5;50;2803.5;0;187.5;0.5;0;32.5;1032.5;2803.5;50;1637.5
39fa5d60-6dac-4d40-ba6e-aae4668a7cf2;570f5dc3-ae52-48aa-8c88-540f3adddd6e;3330842;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;32.5;32.5;4491;2680.51;{18443.98233, 71684.99585, 49377.499725}|{18443.98233, 71684.99585, 44886.499725};{18443.98233, 74365.50585, 49377.499725}|{18443.98233, 71684.99585, 49377.499725};{18255.98233, 71701.24585, 49361.249725};{18443.98233, 71701.24585, 49361.249725};{18349.98233, 71701.24585, 47131.999725};{18349.98233, 73025.25085, 49361.249725};0;32.5;4458.5;0;188;0;0;32.5;2648.01;2648.01;32.5;0;0;188;0;0;32.5;4458.5;4458.5;32.5;0
320ccb0b-a513-495b-9514-5ee635063fca;39fa5d60-6dac-4d40-ba6e-aae4668a7cf2;3330857;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;188;188;45.1;32.5;2680.51;4491;{18443.98233, 71684.99585, 44869.899725}|{18443.98233, 74365.50585, 44869.899725};{18443.98233, 71684.99585, 49377.499725}|{18443.98233, 71684.99585, 44886.499725};{18255.98233, 71701.24585, 44900.749725};{18443.98233, 71701.24585, 44900.749725};{18349.98233, 73025.25085, 44892.449725};{18349.98233, 71701.24585, 47131.999725};0;32.5;2648.01;0;188;0;16.599999;28.499999;4462.500001;4462.500001;28.499999;16.599999;0;188;0;0;32.5;2648.01;16.599999;28.499999;4462.500001
272efdfa-2956-4023-ab3e-4bd15b85691a;5b0f08ff-4e7e-41b3-83a4-121282e3e469;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;187.5;50;50;4507.6;1065;{18443.98233, 72749.999725, 49377.50415}|{18443.98233, 72749.999725, 44869.90415};{18443.98233, 71684.99585, 45669.999725}|{18443.98233, 72749.99585, 45669.999725};{18256.48233, 72737.497787, 45669.999725};{18443.98233, 72737.497787, 45669.999725};{18350.23233, 72749.999725, 47123.70415};{18350.23233, 72217.49585, 45669.999725};3682.504425;50;775.095575;0;187.5;0;1040.003876;24.996124;25.003876;1040.003876;24.996124;25.003876;0;187.5;0;775.095575;50;3682.504425;775.095575;50;3682.504425
272efdfa-2956-4023-ab3e-4bd15b85691a;2db24f86-da2f-4dfc-9c27-1c6584232f64;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;187.5;50;50;4507.6;1065;{18443.98233, 72749.999725, 49377.50415}|{18443.98233, 72749.999725, 44869.90415};{18443.98233, 71684.99585, 47714.999725}|{18443.98233, 72749.99585, 47714.999725};{18256.48233, 72737.497787, 47714.999725};{18443.98233, 72737.497787, 47714.999725};{18350.23233, 72749.999725, 47123.70415};{18350.23233, 72217.49585, 47714.999725};1637.504425;50;2820.095575;0;187.5;0;1040.003876;24.996124;25.003876;1040.003876;24.996124;25.003876;0;187.5;0;2820.095575;50;1637.504425;2820.095575;50;1637.504425
272efdfa-2956-4023-ab3e-4bd15b85691a;570f5dc3-ae52-48aa-8c88-540f3adddd6e;3330845;3330842;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;32.5;4507.6;2680.51;{18443.98233, 72749.999725, 49377.50415}|{18443.98233, 72749.999725, 44869.90415};{18443.98233, 74365.50585, 49377.499725}|{18443.98233, 71684.99585, 49377.499725};{18256.48233, 72749.999725, 49361.249725};{18443.98233, 72749.999725, 49361.249725};{18350.23233, 72749.999725, 47123.70415};{18349.98233, 73025.25085, 49361.249725};0.004425;32.5;4475.095575;0;187.5;0.5;1040.003876;50;1590.506124;1590.506124;50;1040.003876;0;187.5;0.5;0.004425;32.5;4475.095575;4475.095575;32.5;0.004425
11d0f716-58f6-462d-b213-856cfa71d12c;272efdfa-2956-4023-ab3e-4bd15b85691a;3330845;3330845;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;187.5;50;50;1357.5;4507.6;{18443.98233, 72749.99585, 45669.999725}|{18443.98233, 74107.49585, 45669.999725};{18443.98233, 72749.999725, 49377.50415}|{18443.98233, 72749.999725, 44869.90415};{18256.48233, 72762.497787, 45669.999725};{18443.98233, 72762.497787, 45669.999725};{18350.23233, 73428.74585, 45669.999725};{18350.23233, 72749.999725, 47123.70415};24.996124;25.003876;1332.496124;0;187.5;0;775.095575;50;3682.504425;3682.504425;50;775.095575;0;187.5;0;24.996124;25.003876;1332.496124;775.095575;50;3682.504425
272efdfa-2956-4023-ab3e-4bd15b85691a;320ccb0b-a513-495b-9514-5ee635063fca;3330845;3330857;ALUMINIUM;ALUMINIUM;3;3;90;90;0;90;0;90;0;90;90;187.5;188;50;45.1;4507.6;2680.51;{18443.98233, 72749.999725, 49377.50415}|{18443.98233, 72749.999725, 44869.90415};{18443.98233, 71684.99585, 44869.899725}|{18443.98233, 74365.50585, 44869.899725};{18256.48233, 72749.999725, 44892.451937};{18443.98233, 72749.999725, 44892.451937};{18350.23233, 72749.999725, 47123.70415};{18349.98233, 73025.25085, 44892.449725};4462.504426;45.095574;0.004424;0;187.5;0.5;1040.003876;50;1590.506124;1040.003876;50;1590.506124;0;187.5;0.5;0.004424;45.095574;4462.504426;0.004424;45.095574;4462.504426
