GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH
21e62497-d639-4fb5-91dc-7a126d453b58;97c3e27e-44bc-4b06-9604-57e36bbc9930;HQ200*6-15*100-10*352;UPB200(200X1200);S355J2;C45/55;18;17;90;1200;80;352;1200;80;1200;200;200;210;200;2789.99;7690.01
97c3e27e-44bc-4b06-9604-57e36bbc9930;fd68b244-b938-4203-a49f-e411f4307391;UPB200(200X1200);HQ295*6-25*150-12*402;C45/55;S355J2;17;18;90;402;-26.68;1200;402;-26.68;402;200;200;200;307;7690.01;12209.99
