GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PART1_WDITH;PART2_WDITH;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG;PLANE1_X_START;PLANE1_X_OVERLAP;PLANE1_X_END;PLANE1_Y_START;PLANE1_Y_OVERLAP;PLANE1_Y_END;PLANE1_Z_START;PLANE1_Z_OVERLAP;PLANE1_Z_END;PLANE2_X_START;PLANE2_X_OVERLAP;PLANE2_X_END;PLANE2_Y_START;PLANE2_Y_OVERLAP;PLANE2_Y_END;PLANE2_Z_START;PLANE2_Z_OVERLAP;PLANE2_Z_END
cc658033-aa2d-4986-8f03-c8ea5887db89;d61e604a-685e-4a41-91d4-24766d71c7e8;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;740;1140;{74617.629555, 99034.121811, 19095}|{75268.482938, 99445.570319, 19095};{75268.482938, 99445.570319, 19095}|{76257.441974, 100070.758311, 19095};{75153.597496, 99627.303661, 19095};{75268.482469, 99445.571873, 19095};{74885.613291, 99330.713513, 19095};{75705.5195, 99849.031763, 19095};770.0;-29.999967;1170.0;3.7234e-8;215.0;3.554e-8;0;60;0;770.0;-29.999967;1170.0;3.7226e-8;215.0;3.5552e-8;0;60;0
4ed1f30a-18c6-4b9e-a809-1972726bd7d7;cc658033-aa2d-4986-8f03-c8ea5887db89;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;1305;740;{73489.201938, 98320.766282, 19095}|{74617.629555, 99034.121811, 19095};{74617.629555, 99034.121811, 19095}|{75268.482938, 99445.570319, 19095};{74502.744113, 99215.855154, 19095};{74617.629086, 99034.123365, 19095};{73995.972791, 98768.311495, 19095};{74885.613291, 99330.713513, 19095};1335.0;-29.999967;770.0;6.4327e-8;215.0;6.668e-8;0;60;0;1335.0;-29.999967;770.0;6.4319e-8;215.0;6.6688e-8;0;60;0
4ed1f30a-18c6-4b9e-a809-1972726bd7d7;ce5eeed4-a050-4b47-ac3d-ab56ca676e67;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;1305;705;{73489.201938, 98320.766282, 19095}|{74617.629555, 99034.121811, 19095};{72867.9328, 97928.019979, 19095}|{73489.201938, 98320.766282, 19095};{73374.316495, 98502.499624, 19095};{73489.201468, 98320.767836, 19095};{73995.972791, 98768.311495, 19095};{73121.124413, 98215.260579, 19095};735.0;-29.999967;1335.0;3.5572e-8;215.0;3.3059e-8;0;60;0;735.0;-29.999967;1335.0;3.5576e-8;215.0;3.3058e-8;0;60;0
b5ce4bb4-712e-4aac-a939-780c584c3aa8;ce5eeed4-a050-4b47-ac3d-ab56ca676e67;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;730;705;{72225.532058, 97521.914959, 19095}|{72867.9328, 97928.019979, 19095};{72867.9328, 97928.019979, 19095}|{73489.201938, 98320.766282, 19095};{72753.047357, 98109.753322, 19095};{72867.93233, 97928.021533, 19095};{72489.289473, 97815.834917, 19095};{73121.124413, 98215.260579, 19095};760.0;-29.999967;735.0;3.6665e-8;215.0;3.6812e-8;0;60;0;760.0;-29.999967;735.0;3.6659e-8;215.0;3.6814e-8;0;60;0
b5ce4bb4-712e-4aac-a939-780c584c3aa8;eb95f1ef-b18e-449d-886d-955000d1f068;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;730;850;{72225.532058, 97521.914959, 19095}|{72867.9328, 97928.019979, 19095};{71460.568018, 97038.329375, 19095}|{72204.400455, 97508.556241, 19095};{72110.646616, 97703.648301, 19095};{72225.531589, 97521.916512, 19095};{72489.289473, 97815.834917, 19095};{71796.172884, 97377.668974, 19095};880.0;-29.999967;760.0;4.3415e-8;215.0;4.3915e-8;0;60;0;880.0;-29.999967;760.0;4.3419e-8;215.0;4.3892e-8;0;60;0
c994fb45-73f3-45a1-acfe-c197eef0c84c;eb95f1ef-b18e-449d-886d-955000d1f068;536580;326940;ALUMINIUM;ALUMINIUM;3;3;90;216;215;60;60;4355;850;{71481.699621, 97051.688093, 18550}|{71481.699621, 97051.688093, 22905};{71460.568018, 97038.329375, 19095}|{72204.400455, 97508.556241, 19095};{71385.832449, 97245.444172, 19095};{71500.717422, 97063.712384, 19095};{71423.989769, 97142.976498, 20727.5};{71796.172884, 97377.668974, 19095};515;60;3780;0.000246;215.001533;0.998467;835.0009;14.999583;45.000417;45.000869;14.999583;835.00045;0.001627;215.0;0.998498;515;60;3780
51de863e-c1ec-4741-a436-34f492cb7161;7b0f2e58-cd7a-4a24-af26-1c0bcac1569d;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;765;730;{70042.02569, 108345.173329, 23770}|{69247.02569, 108345.173329, 23770};{69247.02569, 108345.173329, 23770}|{68487.02569, 108345.173329, 23770};{69247.02569, 108130.171765, 23770};{69247.02569, 108345.171765, 23770};{69644.52569, 108237.671765, 23770};{68867.02569, 108237.671765, 23770};795;-30.0;760;0;215;0;0;60;0;795;-30.0;760;0;215;0;0;60;0
7b0f2e58-cd7a-4a24-af26-1c0bcac1569d;a5e01ea3-f3f0-4303-bd01-fcf78e1667ba;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;730;765;{69247.02569, 108345.173329, 23770}|{68487.02569, 108345.173329, 23770};{68487.02569, 108345.173329, 23770}|{67692.02569, 108345.173329, 23770};{68487.02569, 108130.171765, 23770};{68487.02569, 108345.171765, 23770};{68867.02569, 108237.671765, 23770};{68089.52569, 108237.671765, 23770};760;-30.0;795;0;215;0;0;60;0;760;-30.0;795;0;215;0;0;60;0
0f564e41-1adb-4b11-9b49-ed22fbd9dbd8;a5e01ea3-f3f0-4303-bd01-fcf78e1667ba;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;1670;765;{67692.02569, 108345.173329, 23770}|{65992.02569, 108345.173329, 23770};{68487.02569, 108345.173329, 23770}|{67692.02569, 108345.173329, 23770};{67692.02569, 108130.171765, 23770};{67692.02569, 108345.171765, 23770};{66842.02569, 108237.671765, 23770};{68089.52569, 108237.671765, 23770};795;-30.0;1700;0;215;0;0;60;0;795;-30.0;1700;0;215;0;0;60;0
0f564e41-1adb-4b11-9b49-ed22fbd9dbd8;5487d53a-d20a-4a9a-b7a8-9c840d417d59;326940;326940;ALUMINIUM;ALUMINIUM;3;3;0;215;215;60;60;1670;765;{67692.02569, 108345.173329, 23770}|{65992.02569, 108345.173329, 23770};{65992.02569, 108345.173329, 23770}|{65197.02569, 108345.173329, 23770};{65992.02569, 108130.171765, 23770};{65992.02569, 108345.171765, 23770};{66842.02569, 108237.671765, 23770};{65594.52569, 108237.671765, 23770};1700;-30.0;795;0;215;0;0;60;0;1700;-30.0;795;0;215;0;0;60;0
