GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT
19bde1ba-dec9-4a41-8c1a-2aab51b8ccd0;303228b3-c11a-4119-ad4a-65827fca4ef3;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-139.99;-139.99;1200;1200;1200;1200;265;265;265;265;1909.01;5860.01;{117484.876598, 271844.701643, 49290.000763}|{117484.876642, 269935.691643, 49290.000763};{117484.877109, 269795.704317, 49290.000763}|{117484.877247, 263935.694317, 49290.000763};{118084.877108, 269865.697994, 49157.500763};{116884.876643, 269865.697966, 49157.500763}
04523b90-5b83-49a6-953c-57dbf40e869c;a24591fe-712c-4d13-85b7-d7f3f5755a30;UPB265(265X1200);HQ295*6-15*150-12*402;C45/55;S355J2 NM;12;1818;90;80;1200;1200;402;1200;80;265;265;265;307;1909.01;8960.01;{118684.876598, 271844.691671, 49290.000763}|{118684.876642, 269935.691671, 49290.000763};{111589.88952, 271965.702214, 49320.005754}|{120549.895627, 271965.69929, 49320.005754};{119284.876599, 271804.699897, 49157.500763};{118084.876599, 271804.699869, 49157.500763}
04523b90-5b83-49a6-953c-57dbf40e869c;9c559a99-ec99-483a-a1ea-1b217aacaea7;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;1909.01;5860;{118684.876598, 271844.691671, 49290.000763}|{118684.876642, 269935.691671, 49290.000763};{118684.877109, 269795.694345, 49290.000763}|{118684.877247, 263935.694345, 49290.000763};{119284.877108, 269865.693022, 49157.500763};{118084.876643, 269865.692994, 49157.500763}
1a40a686-1328-4f61-9443-895b4d48e982;ee91874c-36c1-4e34-a738-4c4dda865864;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;1909;1909;1200;1200;0;0;265;265;265;265;1909;1909;{112684.876598, 271844.701531, 49290.000763}|{112684.876642, 269935.701531, 49290.000763};{113884.876598, 271844.701559, 49290.000763}|{113884.876642, 269935.701559, 49290.000763};{113284.876598, 271844.70208, 49157.500763};{113284.876642, 269935.701545, 49157.500763}
a24591fe-712c-4d13-85b7-d7f3f5755a30;ee91874c-36c1-4e34-a738-4c4dda865864;HQ295*6-15*150-12*402;UPB265(265X1200);S355J2 NM;C45/55;1818;12;90;1200;80;402;1200;80;1200;265;265;307;265;8960.01;1909;{111589.88952, 271965.702214, 49320.005754}|{120549.895627, 271965.69929, 49320.005754};{113884.876598, 271844.701559, 49290.000763}|{113884.876642, 269935.701559, 49290.000763};{114484.876599, 271804.701462, 49157.500763};{113284.876599, 271804.701434, 49157.500763}
8fca7d5e-7375-4f12-b253-f98d291d0566;ee91874c-36c1-4e34-a738-4c4dda865864;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;1909;1909;1200;1200;0;0;265;265;265;265;1909;1909;{115084.876598, 271844.701587, 49290.000763}|{115084.876642, 269935.701587, 49290.000763};{113884.876598, 271844.701559, 49290.000763}|{113884.876642, 269935.701559, 49290.000763};{114484.876598, 271844.701689, 49157.500763};{114484.876642, 269935.701573, 49157.500763}
433fbe87-287f-4140-bc21-9a037372d230;ee91874c-36c1-4e34-a738-4c4dda865864;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;1909;{113884.877109, 269795.704233, 49290.000763}|{113884.877247, 263935.704233, 49290.000763};{113884.876598, 271844.701559, 49290.000763}|{113884.876642, 269935.701559, 49290.000763};{114484.877108, 269865.702909, 49157.500763};{113284.876643, 269865.702882, 49157.500763}
2a88f1be-73c4-4844-bd47-37d8b25e2e1b;465f5bf9-47f6-4f06-9109-f0bfecf1707f;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;5860;5860;1200;1200;0;0;265;265;265;265;5860;5860;{123484.877109, 269795.694457, 49290.000763}|{123484.877247, 263935.694457, 49290.000763};{122284.877109, 269795.694429, 49290.000763}|{122284.877247, 263935.694429, 49290.000763};{122884.877109, 269795.694443, 49157.500763};{122884.877244, 263935.694443, 49157.500763}
2a88f1be-73c4-4844-bd47-37d8b25e2e1b;73e23120-0221-4661-8d3e-44035629d96a;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;-140;-140;1200;1200;1200;1200;265;265;265;265;5860;5860;{123484.877109, 269795.694457, 49290.000763}|{123484.877247, 263935.694457, 49290.000763};{123484.87783, 263795.692458, 49290.000763}|{123484.877967, 257935.692458, 49290.000763};{124084.877828, 263865.693471, 49157.500763};{122884.877246, 263865.693444, 49157.500763}
8fca7d5e-7375-4f12-b253-f98d291d0566;a24591fe-712c-4d13-85b7-d7f3f5755a30;UPB265(265X1200);HQ295*6-15*150-12*402;C45/55;S355J2 NM;12;1818;90;80;1200;1200;402;1200;80;265;265;265;307;1909;8960.01;{115084.876598, 271844.701587, 49290.000763}|{115084.876642, 269935.701587, 49290.000763};{111589.88952, 271965.702214, 49320.005754}|{120549.895627, 271965.69929, 49320.005754};{115684.876599, 271804.70107, 49157.500763};{114484.876599, 271804.701043, 49157.500763}
