GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG
b152610d-fa87-4b34-b9b2-f84a19e58647;cdf736ad-72d7-4acb-811c-02982c34215d;UPB380(380X1200);UPB380(380X1200);C45/55;C45/55;80;80;0;14340.87;14340.87;1200;1200;0;0;380;380;380;380;14340.88;14340.88;{52274.955363, 14878.52517, 26630.000379}|{66670.975362, 14878.402027, 26630.000379};{52274.955627, 16078.52517, 26630.000379}|{66670.995627, 16078.402027, 26630.000379};{52330.001182, 15478.524699, 26440.000379};{66670.87577, 15478.402027, 26440.000379};{59500.437423, 14878.463363, 26440.000379};{59500.438476, 16078.463363, 26440.000379}
cdf736ad-72d7-4acb-811c-02982c34215d;de86d2d6-2553-4233-9231-8b2f4cf39241;UPB380(380X1200);3580*200;C45/55;C45/55;80;8;90;100.03;1051.3;1200;200;1051.2;100.01;380;380;380;3580.11;14340.88;4784;{52274.955627, 16078.52517, 26630.000379}|{66670.995627, 16078.402027, 26630.000379};{66570.884423, 20409.201488, 23050.001709}|{66570.876034, 15629.201195, 23050.001709};{66620.881615, 16678.402455, 26440.000379};{66620.872623, 15627.200087, 26440.000379};{59500.438476, 16078.463363, 26440.000379};{66670.880229, 18019.201166, 24840.054862}
57d98b7a-7c22-46e5-8fad-91863af031ac;cdf736ad-72d7-4acb-811c-02982c34215d;3580*200;UPB380(380X1200);C45/55;C45/55;8;80;90;133.3;100;200;1200;100.01;133.3;-20;-20;3580;380;4781.7;14340.88;{66570.876002, 15609.700919, 26650.001709}|{66570.867612, 10830.002669, 26650.001709};{52274.955627, 16078.52517, 26630.000379}|{66670.995627, 16078.402027, 26630.000379};{66620.876117, 15611.701851, 26640.001044};{66620.874977, 15478.402455, 26640.001044};{66670.871809, 13220.851618, 28440.001709};{59500.438476, 16078.463363, 26440.000379}
cdf736ad-72d7-4acb-811c-02982c34215d;e2feeb88-446a-4255-b48b-4a02dc706f27;UPB380(380X1200);3580*200;C45/55;C45/55;80;8;90;100;132.8;1200;200;132.8;100.01;380;380;380;3580.11;14340.88;4781.2;{52274.955627, 16078.52517, 26630.000379}|{66670.995627, 16078.402027, 26630.000379};{66570.875999, 15609.201195, 23050.001709}|{66570.867611, 10830.002668, 23050.001709};{66620.876677, 15544.801271, 26250.000379};{66620.876677, 15544.801271, 26630.000379};{59500.438476, 16078.463363, 26440.000379};{66670.871807, 13220.601756, 24840.054862}
7ff17cf6-9d66-4994-ab91-e2782721bbac;af6a5cca-e99d-4fb0-926b-0b190c9ff36c;UPB265(265X1200);3580*250;C45/55;C45/55;12;1;90;80.03;655.18;655.09;250;655.09;80.01;-20;-20;265;3580;8400.91;2530;{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{58329.990478, 27019.924286, 26650.002014}|{58329.990478, 29549.924286, 26650.002014};{58289.994646, 27039.906833, 26640.001194};{58289.987415, 27694.996833, 26640.001194};{62450.443851, 27367.49776, 26497.500374};{58204.990478, 28284.926001, 28440.002014}
0daa8e80-aff2-47ff-8ef7-684c893509bb;7ff17cf6-9d66-4994-ab91-e2782721bbac;3580*200;UPB265(265X1200);C45/55;C45/55;8;12;90;655.2;80.04;200;655.09;80.01;655.09;-20;-20;3580.11;265;4785.48;8400.91;{66570.899878, 29205.700968, 26650.001709}|{66570.891474, 24422.216712, 26650.001709};{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{66610.899624, 27039.998688, 26640.001041};{66610.892392, 27695.088688, 26640.001041};{66670.895677, 26814.958664, 28440.054862};{62450.443851, 27367.49776, 26497.500374}
7ff17cf6-9d66-4994-ab91-e2782721bbac;be446c7c-daf8-4616-9004-0c459adb0a3d;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;8400.91;8400.91;655.09;655;-20;-20;265;265;265;265;8400.91;8400.92;{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{66580.967007, 27715.088357, 26630.000374}|{58229.987007, 27714.996168, 26630.000374};{66650.897113, 27705.089129, 26497.500374};{58249.990589, 27704.996392, 26497.500374};{62450.443851, 27367.49776, 26497.500374};{62450.444444, 28042.54276, 26497.500374}
7ff17cf6-9d66-4994-ab91-e2782721bbac;b1400349-7372-4a1a-950e-5fdbc0a60799;UPB265(265X1200);UPB265(265X1200);C45/55;C45/55;12;12;0;6680.9;6680.9;655.09;610.01;0;0;265;265;265;265;8400.91;6680.9;{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{66580.94468, 27039.998357, 26630.000374}|{59950.004681, 27039.925156, 26630.000374};{66650.896072, 27039.999129, 26497.500374};{59969.997324, 27039.925379, 26497.500374};{62450.443851, 27367.49776, 26497.500374};{63310.450065, 26734.957253, 26497.500374}
13feee5e-7c19-4a79-9761-f4d9d0b6a653;7ff17cf6-9d66-4994-ab91-e2782721bbac;3580*250;UPB265(265X1200);C50/60;C45/55;1;12;90;-39.97;250.05;250;655.09;250;-40;265;265;3580;265;3000;8400.91;{60049.991699, 23999.92383, 23050.002014}|{60050.006958, 26999.92383, 23050.002014};{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{59925.007059, 27019.922859, 26365.000374};{59925.007059, 27019.922859, 26630.000374};{59924.999328, 25499.923301, 24840.002014};{62450.443851, 27367.49776, 26497.500374}
688b6660-2bb3-4b65-ab22-5ad4b7b356ce;7ff17cf6-9d66-4994-ab91-e2782721bbac;3580*250;UPB265(265X1200);C50/60;C45/55;1;12;90;655.18;80.03;250;655.09;80.01;655.09;265;265;3580;265;2530;8400.91;{58329.990478, 27019.924286, 23050.002014}|{58329.990478, 29549.924286, 23050.002014};{66580.96468, 27039.998357, 26630.000374}|{58229.984681, 27039.906168, 26630.000374};{58289.994646, 27039.906833, 26497.500374};{58289.987415, 27694.996833, 26497.500374};{58204.990478, 28284.926001, 24840.002014};{62450.443851, 27367.49776, 26497.500374}
